molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3901477,6200.0,nM,NC1=NC(c2cc(NCc3cc(Br)co3)ccc2F)(C(F)F)COC1,5.207608310501746,417.02997347999997,5,2,3.6411000000000024,True
CHEMBL3670354,6200.0,nM,C[C@]1(c2cccc(NC(=O)c3ccc(C#N)cn3)n2)CO[C@@](C)(C(F)(F)F)C(N)=N1,5.207608310501746,418.13650844400007,7,2,2.5241799999999994,True
CHEMBL1760853,6200.0,nM,Cc1cccc(Cc2cc(C[C@@H]3CS(=O)(=O)C[C@H](NCc4cccc(C(C)C)c4)[C@H]3O)ccc2O)c1,5.207608310501746,507.24432966399996,5,3,4.521220000000006,True
CHEMBL3683794,6215.0,nM,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@]3(CF)N=C(N)O[C@H]4C[C@H]43)c2)cn1,5.206558867022336,431.12052403200005,7,2,1.9173,True
CHEMBL3918779,6230.5,nM,NC1=NC2(CS1)c1cc(Br)ccc1CC21CCC(O)CC1,5.205477099644579,366.040146328,4,2,3.183300000000002,True
CHEMBL2181982,6260.0,nM,N#Cc1ccc(COC(=O)[C@H]2C[C@]3(CN2)C(=O)Nc2ccccc23)cc1Br,5.20342566678957,425.037503472,5,2,2.6159800000000004,True
CHEMBL2349503,6270.0,nM,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4ccncc4)cc32)N=C1N,5.202732459169283,336.15862588000005,5,1,2.2917,True
CHEMBL4069747,6300.0,nM,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)c1.Cl,5.200659450546418,487.260169756,4,3,3.8246000000000033,True
CHEMBL1210330,6300.0,nM,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(Nc2ccccc2)c1)C(=O)NC1CCCCC1,5.200659450546418,528.3100411400001,5,5,4.559200000000002,True
CHEMBL2380444,6300.0,nM,CC1(c2cccc(-c3cccc(Cl)c3)c2)N=C(N)CCO1,5.200659450546418,300.102940844,3,1,3.957200000000003,True
CHEMBL4444849,6300.0,nM,COc1cccc(/C=N/C2CCN(Cc3ccccc3)CC2)c1OC,5.200659450546418,338.19942807199993,4,0,3.7873000000000028,True
